subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
K32,1,gestures/car_POS.mp4,wind_w,o,S,car,1.0,0.0,1.0187693,o,True
K32,2,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,1.0,0.9541956,a,True
K32,3,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,2.0,1.2242303,i,True
K32,4,gestures/car_POS.mp4,whe_l,e,S,car,1.0,3.0,1.4607937,e,True
K32,5,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,4.0,0.8565083,a,True
K32,6,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,5.0,1.0020667,e,True
K32,7,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,6.0,0.92261064,a,True
K32,8,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,7.0,0.97161674,e,True
K32,9,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,8.0,1.3002305,o,False
K32,10,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,9.0,0.98485744,e,True
K32,11,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,10.0,1.0711855,o,True
K32,12,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,11.0,1.210966,i,True
K32,13,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,12.0,1.1525793,u,True
K32,14,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,13.0,0.8525914,a,True
K32,15,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,14.0,1.5698851,u,True
K32,16,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,15.0,1.5870559,o,True
K32,17,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,16.0,1.0455427,i,True
K32,18,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,17.0,1.0271832,o,True
K32,19,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,18.0,1.2480205,e,True
K32,20,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,19.0,1.0574921,a,True
K32,21,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,20.0,1.1536041,i,True
K32,22,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,21.0,0.88668275,i,True
K32,23,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,22.0,1.0453551,u,True
K32,24,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,23.0,1.2666587,e,True
K32,25,gestures/car_PL.mp4,m_ve,o,S,car,1.0,24.0,0.9580292,o,True
K32,26,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,25.0,1.0177027,o,True
K32,27,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,26.0,1.0467275,e,True
K32,28,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,27.0,0.89903826,a,True
K32,29,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,28.0,1.0159949,a,True
K32,30,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,29.0,0.98926353,i,True
K32,31,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,30.0,0.94836557,i,True
K32,32,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,31.0,1.0823975,o,True
K32,33,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,32.0,0.85768306,a,True
K32,34,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,33.0,0.942556,e,True
K32,35,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,34.0,1.2142509,u,True
K32,36,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,35.0,1.0314775,i,True
K32,37,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,36.0,0.9770998,e,True
K32,38,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,37.0,0.94467664,o,True
K32,39,gestures/car_S.mp4,wind_w,o,G,car,1.0,38.0,0.9988577,o,True
K32,40,gestures/car_S.mp4,whe_l,e,G,car,1.0,39.0,1.016655,e,True
K32,41,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,40.0,1.2136058,a,True
K32,42,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,41.0,1.053717,i,True
K32,43,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,42.0,0.8957556,a,True
K32,44,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,43.0,1.0818752,u,True
K32,45,gestures/dog_S.mp4,to_th,o,G,dog,1.0,44.0,1.1706057,o,True
K32,46,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,45.0,1.0911299,e,True
K32,47,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,46.0,1.2051588,i,True
K32,48,gestures/girl_S.mp4,h_g,u,G,girl,1.0,47.0,1.6529934,u,True
K32,49,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,48.0,1.1046653,i,True
K32,50,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,49.0,0.94440967,i,True
K32,51,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,50.0,1.0138093,e,True
K32,52,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,51.0,1.0119022,e,True
K32,53,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,52.0,1.0886033,u,True
K32,54,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,53.0,1.0709689,i,True
K32,55,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,54.0,0.9847046,a,True
K32,56,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,55.0,1.0381265,i,True
K32,57,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,56.0,0.8774493,a,True
K32,58,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,57.0,0.9532391,o,True
K32,59,gestures/cat_S.mp4,n_se,o,G,cat,1.0,58.0,0.95527047,o,True
K32,60,gestures/car_S.mp4,cr_sh,a,G,car,1.0,59.0,0.70587796,a,True
K32,61,gestures/frog_S.mp4,list_n,e,G,frog,1.0,60.0,1.0431733,e,True
K32,62,gestures/car_S.mp4,m_ve,o,G,car,1.0,61.0,1.0229974,o,True
K32,63,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,62.0,1.0651629,a,True
K32,64,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,63.0,0.9169803,o,True
